model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
model,attack_model,epsilon,Accuracy,Macro Precision,Weighted Precision,Macro Recall,Weighted Recall,Macro F1,Weighted F1,TPR,FNR,TNR,FPR
,,,,,,,,,,,,,
DNN,Baseline,0,0.8459432662694896,0.8306805645380874,0.8431625519640167,0.8061052271007022,0.8459432662694896,0.8163398930364456,0.8429762651626266,0.8061052271007022,0.1938947728992978,0.8061052271007022,0.1938947728992978
DNN,BIM,0.01,0.8426617297382668,0.8266223747259154,0.8397353492729381,0.802302036199095,0.8426617297382668,0.8124151745815014,0.8396255082941461,0.802302036199095,0.19769796380090499,0.802302036199095,0.19769796380090499
DNN,BIM,0.1,0.7670021321213291,0.7320528671034254,0.7671230903614163,0.732292687620742,0.7670021321213291,0.7321723888104259,0.767062300291039,0.732292687620742,0.2677073123792581,0.732292687620742,0.2677073123792581
DNN,BIM,0.2,0.7207096542102815,0.6850687856000768,0.7319601095878931,0.6967978598408463,0.7207096542102815,0.6893101361413003,0.7249899097783623,0.6967978598408463,0.3032021401591537,0.6967978598408463,0.3032021401591537
DNN,BIM,0.3,0.6513323564766476,0.6300563801954965,0.6891984515931922,0.6470491710819766,0.6513323564766476,0.6289513854454019,0.6618707866217592,0.6470491710819766,0.35295082891802354,0.6470491710819766,0.35295082891802354
DNN,FGSM,0.01,0.8426792780619631,0.8266253441820102,0.8397544090325663,0.8023513803943668,0.8426792780619631,0.8124487004296315,0.8396494153300997,0.8023513803943668,0.19764861960563318,0.8023513803943668,0.19764861960563318
DNN,FGSM,0.1,0.7424344789463987,0.7059631705812981,0.747755601116508,0.7133333862802189,0.7424344789463987,0.7091597474127416,0.7446968154275845,0.7133333862802189,0.28666661371978114,0.7133333862802189,0.28666661371978114
DNN,FGSM,0.2,0.6638530854340139,0.6360957332572597,0.6926223171455295,0.6515958214317943,0.6638530854340139,0.6375656896538471,0.6728259480647824,0.6515958214317943,0.3484041785682057,0.6515958214317943,0.3484041785682057
DNN,FGSM,0.3,0.6505163594247659,0.6234141338443746,0.6810944506895694,0.6378468642552353,0.6505163594247659,0.6240153882374588,0.6600743308229774,0.6378468642552353,0.3621531357447647,0.6378468642552353,0.3621531357447647
DNN,PGD,0.01,0.8426617297382668,0.8266223747259154,0.8397353492729381,0.802302036199095,0.8426617297382668,0.8124151745815014,0.8396255082941461,0.802302036199095,0.19769796380090499,0.802302036199095,0.19769796380090499
DNN,PGD,0.1,0.7670021321213291,0.7320528671034254,0.7671230903614163,0.732292687620742,0.7670021321213291,0.7321723888104259,0.767062300291039,0.732292687620742,0.2677073123792581,0.732292687620742,0.2677073123792581
DNN,PGD,0.2,0.7207096542102815,0.6850687856000768,0.7319601095878931,0.6967978598408463,0.7207096542102815,0.6893101361413003,0.7249899097783623,0.6967978598408463,0.3032021401591537,0.6967978598408463,0.3032021401591537
DNN,PGD,0.3,0.6513323564766476,0.6300563801954965,0.6891984515931922,0.6470491710819766,0.6513323564766476,0.6289513854454019,0.6618707866217592,0.6470491710819766,0.35295082891802354,0.6470491710819766,0.35295082891802354
DNN,DF,0.01,0.08491633836677752,0.09328175118933973,0.10099933048702295,0.10395960060552821,0.08491633836677752,0.08470593174360508,0.07969282347819288,0.10395960060552821,0.8960403993944719,0.10395960060552821,0.8960403993944719
DNN,DF,0.1,0.08458292021654631,0.09258214145016527,0.09992699609476763,0.10396254261073265,0.08458292021654631,0.0843458148248939,0.07902309613366071,0.10396254261073265,0.8960374573892673,0.10396254261073265,0.8960374573892673
DNN,DF,0.2,0.08337208588149617,0.09052572721117338,0.0970332189185496,0.1033354949474859,0.08337208588149617,0.08307716477555355,0.07713675535639353,0.1033354949474859,0.8966645050525142,0.1033354949474859,0.8966645050525142
DNN,DF,0.3,0.08332821507225523,0.09012447287624997,0.09627560238114717,0.10370424698478997,0.08332821507225523,0.08299914657585622,0.07672398258083864,0.10370424698478997,0.89629575301521,0.10370424698478997,0.89629575301521
DNN,AutoPGD,0.01,0.8464258451711401,0.831224033869977,0.8436675945809574,0.8067440727112674,0.8464258451711401,0.8169505562650045,0.8434850190181971,0.8067440727112674,0.19325592728873273,0.8067440727112674,0.19325592728873273
DNN,AutoPGD,0.1,0.7758991322353932,0.7425659770457206,0.778221861384467,0.7471544502087488,0.7758991322353932,0.744721254300511,0.7769488318163794,0.7471544502087488,0.2528455497912511,0.7471544502087488,0.2528455497912511
DNN,AutoPGD,0.2,0.7266322134578095,0.6925805550895474,0.7396460812143574,0.7063541695442148,0.7266322134578095,0.6972983840065734,0.7313383257280661,0.7063541695442148,0.2936458304557852,0.7063541695442148,0.2936458304557852
